"dI [mm]","wF [mm]","Freq [GHz]","re(Z(1,1)) []","im(Z(1,1)) []"
7.5,1.5,2.135,261.782202286158,476.338180977568
7.5,1.5,2.138,284.287504941748,482.969149842913
7.5,1.5,2.141,308.999317994445,488.481289511124
7.5,1.5,2.144,336.048477314863,492.485885571664
7.5,1.5,2.147,365.521345806219,494.511092585735
7.5,1.5,2.15,397.432321821283,493.995781669668
7.5,1.5,2.153,431.688224863112,490.290041714396
7.5,1.5,2.156,468.044903379406,482.667063123921
7.5,1.5,2.159,506.058653157351,470.352318225529
7.5,1.5,2.162,545.038597044024,452.576264957876
7.5,1.5,2.165,584.010891410777,428.655122167201
7.5,1.5,2.168,621.710434309224,398.09927558488
7.5,1.5,2.171,656.618292059897,360.739766871373
7.5,1.5,2.174,687.059858725271,316.851080942591
7.5,1.5,2.177,711.36672955296,267.237142285524
7.5,1.5,2.18,728.084631196833,213.244043195641
7.5,1.5,2.183,736.186794472553,156.674307747106
7.5,1.5,2.186,735.238524296822,99.6042866292031
7.5,1.5,2.189,725.465161153202,44.1394626297922
7.5,1.5,2.192,707.703274382442,-7.83408648296667
7.5,1.5,2.195,683.251955646052,-54.8430013942236
7.5,1.5,2.198,653.669537175741,-95.9277059843702
7.5,1.5,2.201,620.568912691535,-130.646570800404
7.5,1.5,2.204,585.452592716092,-159.005363578159
7.5,1.5,2.207,549.606899509593,-181.346294837823
7.5,1.5,2.21,514.054593566331,-198.22881369006
7.5,1.5,2.213,479.553004119348,-210.32414876329
7.5,1.5,2.216,446.620906879106,-218.334083489447
7.5,1.5,2.219,415.579203742185,-222.935604161379
7.5,1.5,2.222,386.594672556725,-224.747972409713
7.5,1.5,2.225,359.720398067164,-224.316822832513
7.5,1.5,2.228,334.929892851349,-222.109895131724
7.5,1.5,2.231,312.144139370101,-218.519940649312
7.5,1.5,2.234,291.252016595551,-213.871518094824
7.5,1.5,2.237,272.125120678904,-208.429464426505
7.5,1.5,2.24,254.628123439259,-202.407666157253
7.5,1.5,2.243,238.625733861883,-195.977353813467
7.5,1.5,2.246,223.987161163506,-189.274537536252
7.5,1.5,2.249,210.588792858635,-182.406446545277
7.5,1.5,2.252,198.315631328341,-175.456976119563
7.5,1.5,2.255,187.06189048295,-168.49121924509
7.5,1.5,2.258,176.731042149185,-161.559192057336
7.5,1.5,2.261,167.235516770281,-154.698870062774
7.5,1.5,2.264,158.496200150239,-147.938646982667
7.5,1.5,2.267,150.441822472736,-141.299316734033
7.5,1.5,2.27,143.008303444472,-134.795665521552
7.5,1.5,2.273,136.138094710688,-128.437747446357
7.5,1.5,2.276,129.779544999921,-122.23190453965
7.5,1.5,2.279,123.886302771042,-116.181581159538
7.5,1.5,2.282,118.41676398394,-110.28797335123
7.5,1.5,2.285,113.333567928763,-104.550545981915
7.5,1.5,2.288,108.603141064637,-98.9674440562905
7.5,1.5,2.291,104.195286997142,-93.5358194028549
7.5,1.5,2.294,100.082819685705,-88.2520897036359
7.5,1.5,2.297,96.2412364535865,-83.1121434464278
7.5,1.5,2.3,92.6484271921074,-78.1115016572226
7.5,1.5,2.303,89.2844161824292,-73.2454450930284
7.5,1.5,2.306,86.1311331179151,-68.5091138353569
7.5,1.5,2.309,83.1722101413235,-63.8975848354104
7.5,1.5,2.312,80.3928019764121,-59.405931852944
7.5,1.5,2.315,77.7794265089997,-55.0292713453142
7.5,1.5,2.318,75.3198234430706,-50.7627971559029
7.5,1.5,2.321,73.00282891428,-46.6018062857691
7.5,1.5,2.324,70.818264181324,-42.5417175801236
