Phi[deg],Theta[deg],dB(DirTotal)
-34,4,6.39419
-32,4,6.39462
-30,4,6.39504
-28,4,6.39546
-26,4,6.39587
-24,4,6.39628
-22,4,6.39668
-20,4,6.39708
-18,4,6.39747
-16,4,6.39786
-14,4,6.39824
-12,4,6.39862
-10,4,6.39898
-8,4,6.39934
-6,4,6.3997
-4,4,6.40005
-2,4,6.40038
0,4,6.40072
2,4,6.40104
4,4,6.40136
6,4,6.40166
8,4,6.40196
10,4,6.40225
12,4,6.40253
14,4,6.4028
16,4,6.40307
18,4,6.40332
20,4,6.40356
22,4,6.40379
24,4,6.40401
26,4,6.40422
28,4,6.40441
30,4,6.4046
32,4,6.40477
34,4,6.40493
36,4,6.40508
38,4,6.40521
40,4,6.40534
42,4,6.40544
44,4,6.40553
46,4,6.40561
48,4,6.40567
50,4,6.40572
52,4,6.40575
54,4,6.40577
56,4,6.40577
58,4,6.40575
60,4,6.40572
62,4,6.40567
64,4,6.4056
66,4,6.40552
68,4,6.40541
70,4,6.4053
72,4,6.40516
74,4,6.405
76,4,6.40483
78,4,6.40464
80,4,6.40443
82,4,6.4042
84,4,6.40396
86,4,6.40369
88,4,6.40341
90,4,6.40311
92,4,6.4028
94,4,6.40247
96,4,6.40212
98,4,6.40175
100,4,6.40137
102,4,6.40098
104,4,6.40057
106,4,6.40014
108,4,6.3997
110,4,6.39925
112,4,6.39879
114,4,6.39831
116,4,6.39782
118,4,6.39732
120,4,6.39681
122,4,6.3963
124,4,6.39577
126,4,6.39524
128,4,6.3947
130,4,6.39415
132,4,6.3936
134,4,6.39305
136,4,6.39249
138,4,6.39193
140,4,6.39137
142,4,6.39081
144,4,6.39025
146,4,6.38969
148,4,6.38914
150,4,6.38858
152,4,6.38804
154,4,6.3875
156,4,6.38696
158,4,6.38643
160,4,6.38591
162,4,6.3854
164,4,6.3849
166,4,6.38441
168,4,6.38393
170,4,6.38347
172,4,6.38301
174,4,6.38257
176,4,6.38215
178,4,6.38174
180,4,6.38134
-180,6,6.34476
-178,6,6.34419
-176,6,6.34364
-174,6,6.34312
-172,6,6.34264
-170,6,6.34218
-168,6,6.34175
-166,6,6.34135
-164,6,6.34099
-162,6,6.34065
-160,6,6.34035
-158,6,6.34008
-156,6,6.33984
-154,6,6.33963
-152,6,6.33945
-150,6,6.33931
-148,6,6.33919
-146,6,6.33911
-144,6,6.33906
-142,6,6.33903
-140,6,6.33904
-138,6,6.33908
-136,6,6.33914
-134,6,6.33924
-132,6,6.33936
-130,6,6.33951
-128,6,6.33969
-126,6,6.33989
-124,6,6.34012
-122,6,6.34037
-120,6,6.34065
-118,6,6.34096
-116,6,6.34128
-114,6,6.34163
-112,6,6.342
-110,6,6.34239
-108,6,6.34281
-106,6,6.34324
-104,6,6.34369
-102,6,6.34416
-100,6,6.34464
-98,6,6.34515
-96,6,6.34567
-94,6,6.3462
-92,6,6.34675
-90,6,6.34731
-88,6,6.34788
-86,6,6.34846
-84,6,6.34906
-82,6,6.34966
-80,6,6.35027
-78,6,6.35089
-76,6,6.35152
-74,6,6.35215
-72,6,6.35279
-70,6,6.35343
-68,6,6.35408
-66,6,6.35473
-64,6,6.35538
-62,6,6.35603
-60,6,6.35668
-58,6,6.35733
-56,6,6.35798
-54,6,6.35863
-52,6,6.35927
-50,6,6.35991
-48,6,6.36055
-46,6,6.36118
-44,6,6.36181
-42,6,6.36244
-40,6,6.36305
-38,6,6.36367
-36,6,6.36427
-34,6,6.36487
-32,6,6.36546
-30,6,6.36605
-28,6,6.36662
-26,6,6.36719
-24,6,6.36775
-22,6,6.36831
-20,6,6.36885
-18,6,6.36939
-16,6,6.36992
-14,6,6.37044
-12,6,6.37095
-10,6,6.37146
-8,6,6.37195
-6,6,6.37244
-4,6,6.37292
-2,6,6.37339
0,6,6.37385
2,6,6.3743
4,6,6.37474
6,6,6.37518
8,6,6.3756
10,6,6.37602
12,6,6.37642
14,6,6.37681
16,6,6.3772
18,6,6.37757
20,6,6.37793
22,6,6.37828
24,6,6.37862
26,6,6.37894
28,6,6.37925
30,6,6.37955
32,6,6.37983
34,6,6.3801
36,6,6.38035
38,6,6.38058
40,6,6.3808
42,6,6.381
44,6,6.38118
46,6,6.38134
48,6,6.38148
50,6,6.3816
52,6,6.3817
54,6,6.38178
56,6,6.38183
58,6,6.38186
60,6,6.38186
62,6,6.38184
64,6,6.3818
66,6,6.38172
68,6,6.38162
70,6,6.38149
72,6,6.38134
74,6,6.38115
76,6,6.38094
78,6,6.3807
80,6,6.38043
82,6,6.38013
84,6,6.37979
86,6,6.37943
88,6,6.37904
90,6,6.37862
92,6,6.37817
94,6,6.3777
96,6,6.37719
98,6,6.37666
100,6,6.37609
102,6,6.3755
104,6,6.37489
106,6,6.37425
108,6,6.37358
110,6,6.37289
112,6,6.37218
114,6,6.37144
116,6,6.37069
118,6,6.36991
120,6,6.36912
122,6,6.36831
124,6,6.36748
126,6,6.36664
128,6,6.36579
130,6,6.36493
132,6,6.36406
134,6,6.36318
136,6,6.3623
138,6,6.36141
140,6,6.36052
142,6,6.35963
144,6,6.35874
146,6,6.35785
148,6,6.35697
150,6,6.35609
152,6,6.35522
154,6,6.35437
156,6,6.35352
158,6,6.35268
160,6,6.35186
162,6,6.35106
164,6,6.35027
166,6,6.34951
168,6,6.34876
170,6,6.34803
172,6,6.34733
174,6,6.34665
176,6,6.346
178,6,6.34537
180,6,6.34476
-180,8,6.29558
-178,8,6.29482
-176,8,6.29409
-174,8,6.29341
-172,8,6.29278
-170,8,6.29218
-168,8,6.29164
-166,8,6.29114
-164,8,6.29068
-162,8,6.29027
-160,8,6.2899
-158,8,6.28958
-156,8,6.2893
-154,8,6.28907
-152,8,6.28888
-150,8,6.28873
-148,8,6.28863
-146,8,6.28857
-144,8,6.28855
-142,8,6.28857
-140,8,6.28863
-138,8,6.28873
-136,8,6.28887
-134,8,6.28905
-132,8,6.28926
-130,8,6.28951
-128,8,6.28979
-126,8,6.29011
-124,8,6.29046
-122,8,6.29084
-120,8,6.29126
-118,8,6.2917
-116,8,6.29218
-114,8,6.29268
-112,8,6.29321
-110,8,6.29377
-108,8,6.29435
-106,8,6.29496
-104,8,6.29559
-102,8,6.29625
-100,8,6.29693
-98,8,6.29762
-96,8,6.29834
-94,8,6.29908
-92,8,6.29983
-90,8,6.3006
-88,8,6.30138
-86,8,6.30218
-84,8,6.30299
-82,8,6.30381
-80,8,6.30464
-78,8,6.30547
-76,8,6.30632
-74,8,6.30717
-72,8,6.30802
-70,8,6.30888
-68,8,6.30974
-66,8,6.3106
-64,8,6.31146
-62,8,6.31232
-60,8,6.31317
-58,8,6.31402
-56,8,6.31487
-54,8,6.31571
-52,8,6.31654
-50,8,6.31736
-48,8,6.31817
-46,8,6.31898
-44,8,6.31977
-42,8,6.32056
-40,8,6.32133
-38,8,6.32209
-36,8,6.32284
-34,8,6.32358
-32,8,6.32431
-30,8,6.32502
-28,8,6.32572
-26,8,6.32641
-24,8,6.32709
-22,8,6.32776
-20,8,6.32841
-18,8,6.32906
-16,8,6.32969
-14,8,6.33031
-12,8,6.33093
-10,8,6.33153
-8,8,6.33212
-6,8,6.33271
-4,8,6.33328
-2,8,6.33385
0,8,6.33441
2,8,6.33496
4,8,6.33551
6,8,6.33604
8,8,6.33657
10,8,6.33709
12,8,6.3376
14,8,6.3381
16,8,6.3386
18,8,6.33908
20,8,6.33956
22,8,6.34003
24,8,6.34048
26,8,6.34093
28,8,6.34136
30,8,6.34178
32,8,6.34219
34,8,6.34258
36,8,6.34295
38,8,6.34331
40,8,6.34365
42,8,6.34396
44,8,6.34426
46,8,6.34454
48,8,6.34479
50,8,6.34501
52,8,6.34521
54,8,6.34538
56,8,6.34552
58,8,6.34563
60,8,6.34571
62,8,6.34576
64,8,6.34577
66,8,6.34574
68,8,6.34568
70,8,6.34558
72,8,6.34544
74,8,6.34526
76,8,6.34504
78,8,6.34478
80,8,6.34447
82,8,6.34413
84,8,6.34374
86,8,6.3433
88,8,6.34282
90,8,6.3423
92,8,6.34173
94,8,6.34112
96,8,6.34047
98,8,6.33977
100,8,6.33904
102,8,6.33826
104,8,6.33743
106,8,6.33657
108,8,6.33567
110,8,6.33474
112,8,6.33376
114,8,6.33276
116,8,6.33172
118,8,6.33065
120,8,6.32955
122,8,6.32842
124,8,6.32728
126,8,6.3261
128,8,6.32491
130,8,6.3237
132,8,6.32248
134,8,6.32124
136,8,6.32
138,8,6.31875
140,8,6.31749
142,8,6.31623
144,8,6.31498
146,8,6.31373
148,8,6.31248
150,8,6.31125
152,8,6.31003
154,8,6.30882
156,8,6.30764
158,8,6.30647
160,8,6.30532
162,8,6.3042
164,8,6.30311
166,8,6.30205
168,8,6.30102
170,8,6.30002
172,8,6.29905
174,8,6.29813
176,8,6.29724
178,8,6.29639
180,8,6.29558
-180,10,6.23389
-178,10,6.23295
-176,10,6.23206
