"dI [mm]","lP [mm]","wF [mm]","Freq [GHz]","re(Z(1,1)) []","im(Z(1,1)) []"
7.5,27.8,1.5,2.978,289.329936237573,-739.982382916439
7.5,27.8,1.5,2.981,272.036486207981,-721.220032640696
7.5,27.8,1.5,2.984,256.202033949909,-703.179424880553
7.5,27.8,1.5,2.987,241.675258088811,-685.844071196779
7.5,27.8,1.5,2.99,228.322792921296,-669.193251271541
7.5,27.8,1.5,2.993,216.026928657843,-653.203459725361
7.5,27.8,1.5,2.996,204.683608473635,-637.849492174122
7.5,27.8,1.5,2.999,194.200688830228,-623.105255365362
7.5,27.8,1.5,3.002,184.496430973128,-608.944366452986
7.5,27.8,1.5,3.005,175.498193998294,-595.340591300353
7.5,27.8,1.5,3.008,167.14130281603,-582.268160077965
7.5,27.8,1.5,3.011,159.368067368019,-569.701989516523
7.5,27.8,1.5,3.014,152.126932369044,-557.617834350892
7.5,27.8,1.5,3.017,145.371739543024,-545.99238525646
7.5,27.8,1.5,3.02,139.061086756029,-534.803326561734
7.5,27.8,1.5,3.023,133.157770605297,-524.029363934396
7.5,27.8,1.5,3.026,127.628300911369,-513.650229864123
7.5,27.8,1.5,3.029,122.442477199649,-503.646672937888
7.5,27.8,1.5,3.032,117.573018672178,-494.000435495365
7.5,27.8,1.5,3.035,112.995240385761,-484.694223166195
7.5,27.8,1.5,3.038,108.686769393689,-475.711668953155
7.5,27.8,1.5,3.041,104.62729549843,-467.037293878802
7.5,27.8,1.5,3.044,100.798352022732,-458.656465714192
7.5,27.8,1.5,3.047,97.1831226551943,-450.555356923557
7.5,27.8,1.5,3.05,93.7662709797868,-442.72090266212
