"dI [mm]","wF [mm]","Freq [GHz]","dB(S(1,1)) []"
7.5,1.5,2.624,-0.659097889531738
7.5,1.5,2.627,-0.649339361387569
7.5,1.5,2.63,-0.639903198245442
7.5,1.5,2.633,-0.630776488864789
7.5,1.5,2.636,-0.621946956202044
7.5,1.5,2.639,-0.61340292110811
7.5,1.5,2.642,-0.605133268389807
7.5,1.5,2.645,-0.597127415063847
7.5,1.5,2.648,-0.589375280645555
7.5,1.5,2.651,-0.581867259327043
7.5,1.5,2.654,-0.574594193910882
7.5,1.5,2.657,-0.56754735137577
7.5,1.5,2.66,-0.56071839996019
7.5,1.5,2.663,-0.554099387658913
7.5,1.5,2.666,-0.547682722035016
7.5,1.5,2.669,-0.541461151257669
7.5,1.5,2.672,-0.535427746282469
7.5,1.5,2.675,-0.52957588409753
7.5,1.5,2.678,-0.523899231963979
7.5,1.5,2.681,-0.518391732585
7.5,1.5,2.684,-0.51304759014217
7.5,1.5,2.687,-0.507861257142445
7.5,1.5,2.69,-0.502827422023071
7.5,1.5,2.693,-0.497940997465643
7.5,1.5,2.696,-0.493197109373847
7.5,1.5,2.699,-0.488591086472703
7.5,1.5,2.702,-0.484118450490105
7.5,1.5,2.705,-0.479774906884132
7.5,1.5,2.708,-0.475556336082127
7.5,1.5,2.711,-0.471458785199966
7.5,1.5,2.714,-0.467478460211964
7.5,1.5,2.717,-0.463611718543991
7.5,1.5,2.72,-0.459855062064103
7.5,1.5,2.723,-0.456205130446852
7.5,1.5,2.726,-0.452658694888862
7.5,1.5,2.729,-0.449212652154875
7.5,1.5,2.732,-0.445864018934766
7.5,1.5,2.735,-0.442609926493309
7.5,1.5,2.738,-0.439447615595671
7.5,1.5,2.741,-0.436374431692664
7.5,1.5,2.744,-0.433387820350898
7.5,1.5,2.747,-0.4304853229138
7.5,1.5,2.75,-0.427664572380457
7.5,1.5,2.753,-0.424923289489993
7.5,1.5,2.756,-0.422259278999985
7.5,1.5,2.759,-0.419670426148135
7.5,1.5,2.762,-0.417154693287073
7.5,1.5,2.765,-0.414710116682778
7.5,1.5,2.768,-0.412334803467694
7.5,1.5,2.771,-0.410026928740181
7.5,1.5,2.774,-0.407784732802378
7.5,1.5,2.777,-0.405606518529076
7.5,1.5,2.78,-0.403490648860682
7.5,1.5,2.783,-0.401435544413635
7.5,1.5,2.786,-0.399439681202159
7.5,1.5,2.789,-0.397501588465514
7.5,1.5,2.792,-0.395619846595279
7.5,1.5,2.795,-0.393793085157476
7.5,1.5,2.798,-0.392019981004741
7.5,1.5,2.801,-0.390299256473866
7.5,1.5,2.804,-0.388629677664431
7.5,1.5,2.807,-0.387010052794458
7.5,1.5,2.81,-0.385439230629185
7.5,1.5,2.813,-0.383916098979357
7.5,1.5,2.816,-0.382439583265567
7.5,1.5,2.819,-0.381008645145439
7.5,1.5,2.822,-0.379622281200515
7.5,1.5,2.825,-0.378279521680015
7.5,1.5,2.828,-0.376979429298653
7.5,1.5,2.831,-0.375721098085976
7.5,1.5,2.834,-0.374503652284709
7.5,1.5,2.837,-0.373326245295819
7.5,1.5,2.84,-0.372188058668045
7.5,1.5,2.843,-0.371088301129874
7.5,1.5,2.846,-0.370026207661891
7.5,1.5,2.849,-0.369001038607733
7.5,1.5,2.852,-0.368012078821748
7.5,1.5,2.855,-0.367058636851798
7.5,1.5,2.858,-0.366140044155477
7.5,1.5,2.861,-0.365255654348336
7.5,1.5,2.864,-0.364404842482592
7.5,1.5,2.867,-0.363587004355002
7.5,1.5,2.87,-0.362801555842558
7.5,1.5,2.873,-0.362047932264813
7.5,1.5,2.876,-0.361325587771623
7.5,1.5,2.879,-0.360633994755217
7.5,1.5,2.882,-0.35997264328551
7.5,1.5,2.885,-0.359341040567673
7.5,1.5,2.888,-0.358738710420969
7.5,1.5,2.891,-0.358165192777973
7.5,1.5,2.894,-0.357620043203307
7.5,1.5,2.897,-0.357102832430993
7.5,1.5,2.9,-0.356613145919755
7.5,1.5,2.903,-0.356150583425408
7.5,1.5,2.906,-0.355714758589673
7.5,1.5,2.909,-0.355305298544739
7.5,1.5,2.912,-0.354921843532889
7.5,1.5,2.915,-0.354564046540606
7.5,1.5,2.918,-0.354231572946533
7.5,1.5,2.921,-0.353924100182769
7.5,1.5,2.924,-0.353641317408906
7.5,1.5,2.927,-0.353382925198335
7.5,1.5,2.93,-0.353148635236335
7.5,1.5,2.933,-0.352938170029432
7.5,1.5,2.936,-0.352751262625634
7.5,1.5,2.939,-0.352587656345071
7.5,1.5,2.942,-0.352447104520686
7.5,1.5,2.945,-0.352329370248498
7.5,1.5,2.948,-0.352234226147204
7.5,1.5,2.951,-0.352161454126584
7.5,1.5,2.954,-0.352110845164551
