"lP [mm]","wF [mm]","Freq [GHz]","dB(S(1,1)) []"
27.8,0.5,2.546,-1.43821144955655
27.8,0.5,2.549,-1.37847015466726
27.8,0.5,2.552,-1.32241579824162
27.8,0.5,2.555,-1.26977293451312
27.8,0.5,2.558,-1.22028935073282
27.8,0.5,2.561,-1.17373400079945
27.8,0.5,2.564,-1.12989511401337
27.8,0.5,2.567,-1.08857846874496
27.8,0.5,2.57,-1.0496058199036
27.8,0.5,2.573,-1.01281346877697
27.8,0.5,2.576,-0.978050963899199
27.8,0.5,2.579,-0.945179921962874
27.8,0.5,2.582,-0.914072958319163
27.8,0.5,2.585,-0.884612717239551
27.8,0.5,2.588,-0.856690992793951
27.8,0.5,2.591,-0.830207931897094
27.8,0.5,2.594,-0.805071311764714
27.8,0.5,2.597,-0.78119588468729
27.8,0.5,2.6,-0.758502783661673
27.8,0.5,2.603,-0.736918983014192
27.8,0.5,2.606,-0.716376808699917
27.8,0.5,2.609,-0.696813493470667
27.8,0.5,2.612,-0.678170772569912
27.8,0.5,2.615,-0.660394516037543
27.8,0.5,2.618,-0.643434394093322
27.8,0.5,2.621,-0.62724357241782
27.8,0.5,2.624,-0.611778434465802
27.8,0.5,2.627,-0.596998328232381
27.8,0.5,2.63,-0.582865335149412
27.8,0.5,2.633,-0.569344059021053
27.8,0.5,2.636,-0.556401433115385
27.8,0.5,2.639,-0.544006543716073
27.8,0.5,2.642,-0.532130468605915
27.8,0.5,2.645,-0.520746129105022
27.8,0.5,2.648,-0.509828154421618
27.8,0.5,2.651,-0.499352757195161
27.8,0.5,2.654,-0.489297619220483
27.8,0.5,2.657,-0.47964178643978
27.8,0.5,2.66,-0.470365572377103
27.8,0.5,2.663,-0.461450469269409
27.8,0.5,2.666,-0.452879066218938
27.8,0.5,2.669,-0.444634973755913
27.8,0.5,2.672,-0.43670275425789
27.8,0.5,2.675,-0.429067857723909
27.8,0.5,2.678,-0.421716562448184
27.8,0.5,2.681,-0.414635920180027
27.8,0.5,2.684,-0.407813705394657
27.8,0.5,2.687,-0.401238368333596
27.8,0.5,2.69,-0.394898991504205
27.8,0.5,2.693,-0.388785249355824
27.8,0.5,2.696,-0.38288737087503
27.8,0.5,2.699,-0.377196104865402
27.8,0.5,2.702,-0.37170268769766
27.8,0.5,2.705,-0.366398813334819
27.8,0.5,2.708,-0.361276605453779
27.8,0.5,2.711,-0.356328591500193
27.8,0.5,2.714,-0.351547678527307
27.8,0.5,2.717,-0.3469271306821
27.8,0.5,2.72,-0.342460548213565
27.8,0.5,2.723,-0.338141847888333
27.8,0.5,2.726,-0.333965244708416
27.8,0.5,2.729,-0.3299252348344
27.8,0.5,2.732,-0.326016579625386
27.8,0.5,2.735,-0.322234290714089
27.8,0.5,2.738,-0.318573616042034
27.8,0.5,2.741,-0.315030026785919
27.8,0.5,2.744,-0.311599205111414
27.8,0.5,2.747,-0.308277032695938
27.8,0.5,2.75,-0.30505957996632
27.8,0.5,2.753,-0.301943096001527
27.8,0.5,2.756,-0.298923999054459
27.8,0.5,2.759,-0.295998867650278
27.8,0.5,2.762,-0.293164432222012
27.8,0.5,2.765,-0.290417567247096
27.8,0.5,2.768,-0.287755283851206
27.8,0.5,2.771,-0.285174722848291
27.8,0.5,2.774,-0.282673148187929
27.8,0.5,2.777,-0.280247940783294
27.8,0.5,2.78,-0.277896592694912
27.8,0.5,2.783,-0.275616701647229
27.8,0.5,2.786,-0.273405965856588
27.8,0.5,2.789,-0.271262179150778
27.8,0.5,2.792,-0.269183226361726
27.8,0.5,2.795,-0.267167078974135
27.8,0.5,2.798,-0.265211791014114
27.8,0.5,2.801,-0.263315495162965
27.8,0.5,2.804,-0.261476399082234
27.8,0.5,2.807,-0.259692781937147
27.8,0.5,2.81,-0.257962991106418
27.8,0.5,2.813,-0.256285439067171
27.8,0.5,2.816,-0.254658600444527
27.8,0.5,2.819,-0.253081009216071
27.8,0.5,2.822,-0.251551256062069
27.8,0.5,2.825,-0.250067985852885
27.8,0.5,2.828,-0.248629895265617
27.8,0.5,2.831,-0.247235730522495
27.8,0.5,2.834,-0.245884285244057
27.8,0.5,2.837,-0.244574398410521
27.8,0.5,2.84,-0.243304952425263
27.8,0.5,2.843,-0.242074871274658
27.8,0.5,2.846,-0.240883118778857
27.8,0.5,2.849,-0.239728696928477
27.8,0.5,2.852,-0.238610644302504
27.8,0.5,2.855,-0.237528034562857
27.8,0.5,2.858,-0.236479975021544
27.8,0.5,2.861,-0.235465605276413
27.8,0.5,2.864,-0.234484095911849
